name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Rental unit in Vienna · ★4.75 · 1 bedroom · 3 beds · 1 bath,Hannes,Leopoldstadt,48.21924,16.37831,Entire home/apt,81,6,372,2.45,3,111,22
Rental unit in Vienna · ★4.85 · 2 bedrooms · 4 beds · 1 bath,Ingela,Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire home/apt,183,1,197,1.24,15,351,16
Rental unit in Vienna · ★4.66 · Studio · 2 beds · 1 bath,Hannes,Leopoldstadt,48.21778,16.37847,Entire home/apt,74,7,369,2.4,3,24,23
Rental unit in Vienna · ★4.77 · 1 bedroom · 2 beds · 2 shared baths,Elxe,Leopoldstadt,48.2176,16.38018,Private room,50,2,119,0.78,3,17,2
Rental unit in Vienna · ★4.45 · 2 bedrooms · 2 beds · 1 bath,Sabine,Brigittenau,48.23493,16.36752,Entire home/apt,75,4,14,0.09,1,291,0
Rental unit in Vienna · ★4.85 · 1 bedroom · 2 beds · 1 bath,Diana,Neubau,48.20599,16.3489,Entire home/apt,131,1,728,4.83,2,250,58
Rental unit in Vienna · ★4.55 · 1 bedroom · 1 bed · Shared half-bath,Michael,Margareten,48.19409,16.35857,Private room,50,1,138,0.92,35,158,24
Rental unit in Vienna · ★4.87 · Studio · 4 beds · 1 bath,Ingela,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,118,1,134,0.96,15,240,9
Rental unit in Vienna · ★4.91 · 1 bedroom · 1 bed · 1 bath,Kateryna,Hernals,48.22042,16.33377,Entire home/apt,71,5,167,1.12,2,0,11
Rental unit in Vienna · ★4.88 · Studio · 4 beds · 1 bath,Ingela,Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire home/apt,118,1,125,0.84,15,307,5
Rental unit in Vienna · ★4.96 · 1 bedroom · 2 beds · 1 bath,Andrei,Leopoldstadt,48.2158,16.39034,Entire home/apt,99,3,384,2.57,2,258,51
Rental unit in Vienna · 2 bedrooms · 1 bed · 1 bath,Sylvia,Ottakring,48.21543,16.30939,Entire home/apt,61,7,0,1.6300273504273504,2,0,0
Rental unit in Vienna · ★4.49 · 1 bedroom · 3 beds · 1 bath,Belinda,Margareten,48.18461,16.35976,Entire home/apt,46,5,165,1.18,2,241,23
Condo in Vienna · ★5.0 · 1 bedroom · 2 beds · 1 bath,Stephanie,Hernals,48.22353,16.31773,Entire home/apt,153,1,6,0.1,14,330,1
Rental unit in Vienna · ★4.49 · 1 bedroom · 3 beds · 1 bath,Sandra,Neubau,48.20572,16.34609,Entire home/apt,103,3,369,2.65,4,218,17
Rental unit in Vienna · ★4.85 · 2 bedrooms · 3 beds · 1 bath,Klaus & Ligia,Simmering,48.18022,16.41955,Entire home/apt,42,3,124,0.85,1,36,15
Rental unit in Vienna · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,Astrid,Wieden,48.19527,16.36374,Private room,46,2,397,2.7,1,252,19
Loft in Vienna · ★4.89 · Studio · 1 bed · 1 bath,Anja,Ottakring,48.20902,16.3317,Entire home/apt,79,5,65,0.48,1,121,8
Rental unit in Vienna · ★4.77 · 1 bedroom · 1 bed · 1.5 baths,Susanna,Leopoldstadt,48.22232,16.3722,Entire home/apt,50,20,14,0.13,1,0,2
Rental unit in Vienna · ★4.82 · Studio · 1 bed · 1 bath,Martha,Margareten,48.19469,16.35963,Entire home/apt,57,1,77,0.76,11,102,8
Rental unit in Vienna · ★4.70 · 1 bedroom · 2 beds · 1 bath,Martha,Margareten,48.19469,16.35963,Entire home/apt,91,1,76,0.53,11,91,6
Rental unit in Vienna · ★4.76 · 3 bedrooms · 4 beds · 1.5 baths,Martha,Margareten,48.19469,16.35963,Entire home/apt,114,1,219,1.49,11,113,24
Rental unit in Vienna · ★4.79 · 1 bedroom · 1 bed · 1 bath,Stefan,Leopoldstadt,48.21664,16.37842,Entire home/apt,83,3,211,1.43,1,25,47
Rental unit in Vienna · ★4.90 · 3 bedrooms · 2 beds · 1 shared bath,Reinhold,Hernals,48.2188,16.32799,Private room,42,2,13,0.09,1,0,0
Rental unit in Vienna · ★4.74 · 1 bedroom · 2 beds · 1 bath,Agnes,Landstra§e,48.20916,16.39557,Entire home/apt,145,10,35,0.3,2,360,3
Rental unit in Vienna · ★4.60 · 3 bedrooms · 4 beds · 1 bath,Gary,Brigittenau,48.22727966308594,16.37061309814453,Entire home/apt,139,4,53,0.36,4,330,0
Condo in Vienna · 1 bedroom · 2 beds · 1 bath,Stephanie,Hernals,48.22356,16.31781,Entire home/apt,100,1,2,0.02,14,285,0
Condo in Vienna · 1 bedroom · 2 beds · 1 bath,Stephanie,Hernals,48.22353,16.31773,Entire home/apt,122,1,1,0.01,14,283,0
Condo in Vienna · ★5.0 · Studio · 1 bed · 1 bath,Stephanie,Hernals,48.22356,16.31781,Entire home/apt,89,1,6,0.05,14,288,0
Condo in Vienna · 1 bedroom · 2 beds · 1 bath,Stephanie,Hernals,48.22356,16.31781,Entire home/apt,84,1,0,1.6300273504273504,14,301,0
Condo in Vienna · 1 bedroom · 2 beds · 1 bath,Stephanie,Hernals,48.22356,16.31781,Entire home/apt,95,1,0,1.6300273504273504,14,318,0
Condo in Vienna · 2 bedrooms · 3 beds · 1 bath,Stephanie,Hernals,48.22356,16.31781,Entire home/apt,148,1,0,1.6300273504273504,14,302,0
Condo in Vienna · ★4.67 · 1 bedroom · 2 beds · 1 bath,Stephanie,Hernals,48.22356,16.31781,Entire home/apt,148,1,3,0.02,14,286,0
Condo in Vienna · Studio · 1 bed · 1 bath,Stephanie,Hernals,48.22509,16.31632,Entire home/apt,95,1,1,0.27,14,257,1
Condo in Vienna · ★5.0 · Studio · 1 bed · 1 bath,Stephanie,Hernals,48.22501,16.31557,Entire home/apt,95,1,5,0.04,14,291,2
Condo in Vienna · ★5.0 · Studio · 1 bed · 1 bath,Stephanie,Hernals,48.22501,16.31557,Entire home/apt,95,1,4,0.09,14,283,1
Condo in Vienna · 2 bedrooms · 5 beds · 1 bath,Stephanie,Hernals,48.22365,16.31742,Entire home/apt,211,1,1,0.01,14,306,0
Serviced apartment in Vienna · 2 bedrooms · 5 beds · 1 bath,Stephanie,Hernals,48.22365,16.31742,Entire home/apt,211,1,1,0.01,14,306,0
Rental unit in Vienna · ★4.74 · 2 bedrooms · 4 beds · 1 bath,Pierre,Alsergrund,48.21919,16.35505,Entire home/apt,123,1,86,0.64,2,338,10
Rental unit in Vienna · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,Ulrike,Ottakring,48.21912,16.30937,Private room,31,2,204,1.46,2,146,21
Condo in Vienna · ★4.91 · 1 bedroom · 1 bed · 1 private bath,Barbara,Mariahilf,48.19283,16.34387,Private room,98,2,11,0.13,3,358,5
Rental unit in Vienna · ★4.80 · 1 bedroom · 2 beds · 1 bath,Peter,Mariahilf,48.198,16.35492,Entire home/apt,60,3,209,1.51,1,205,42
Rental unit in Vienna · ★4.58 · 1 bedroom · 1 bed · 1.5 baths,Michael,Margareten,48.19339,16.36037,Private room,31,30,38,0.75,35,215,3
Rental unit in Vienna · ★4.57 · 1 bedroom · 1 bed · 2 baths,Michael,Margareten,48.19444,16.35969,Private room,55,1,111,0.8,35,141,26
Rental unit in Vienna · ★4.63 · 1 bedroom · 1 bed · 2 baths,Michael,Margareten,48.19347,16.359,Private room,45,1,78,0.53,35,338,24
Rental unit in Vienna · ★4.56 · 1 bedroom · 2 beds · 1.5 baths,Michael,Margareten,48.19496,16.35896,Entire home/apt,65,30,98,0.67,35,287,0
Rental unit in Vienna · ★4.27 · 2 bedrooms · 3 beds · 1 bath,Liang,Mariahilf,48.19341,16.35082,Entire home/apt,140,3,22,0.29,1,0,0
Rental unit in Vienna · ★4.88 · 1 bedroom · 1 bed · 1 bath,Caroline,Innere Stadt,48.20904,16.37182,Entire home/apt,100,14,89,0.67,1,318,6
